# Pre-Califiguration: HARD_REV:0x11,MPC:0x05,GX_M:0x00,VOSS_M:0x00,VOSC_M:0x00,PH_M:0x00,PHR_M:0x00,GX_N:0x00,VOSS_N:0x00,VOSC_N:0x00,PH_N:0x00,PHR_N:0x00
MASTER_RAW,NONIUS_RAW
14950,8820
15046,8905
15146,8993
15244,9075
15337,9164
15434,9248
15532,9333
15625,9418
15721,9505
15815,9583
15912,9671
16002,9755
16096,9836
16184,9918
16270,10001
16363,10084
67,10166
154,10250
248,10333
340,10412
426,10498
515,10586
606,10670
696,10757
787,10844
874,10930
965,11016
1053,11102
1146,11193
1238,11280
1327,11369
1419,11460
1508,11554
1599,11649
1688,11740
1778,11834
1873,11930
1962,12020
2054,12111
2145,12205
2238,12299
2325,12396
2420,12493
2514,12587
2608,12683
2698,12785
2786,12886
2880,12980
2975,13076
3065,13175
3160,13274
3251,13374
3345,13468
3438,13570
3531,13670
3625,13761
3717,13858
3810,13955
3902,14055
3988,14152
4083,14248
4175,14346
4270,14442
4369,14535
4468,14637
4560,14736
4660,14831
4759,14925
4859,15023
4954,15123
5053,15220
5156,15316
5256,15415
5357,15508
5461,15604
5561,15701
5662,15797
5761,15892
5865,15985
5966,16080
6068,16173
6174,16265
6275,16355
6372,67
6474,156
6575,246
6676,341
6777,430
6876,517
6976,607
7074,695
7170,786
7268,875
7365,964
7461,1047
7557,1135
7651,1221
7750,1303
7843,1388
7935,1472
8025,1556
8117,1640
8209,1726
8299,1809
8389,1895
8479,1976
8570,2059
8663,2140
8752,2228
8843,2314
8937,2399
9029,2484
9123,2569
9213,2655
9303,2743
9396,2833
9488,2923
9580,3013
9673,3101
9768,3194
9861,3287
9949,3381
10045,3475
10139,3570
10235,3666
10326,3764
10419,3857
10510,3950
10605,4044
10706,4142
10799,4243
10889,4343
10983,4446
11081,4547
11172,4647
11268,4744
11364,4841
11458,4946
11556,5049
11653,5152
11748,5253
11842,5354
11943,5455
12039,5560
12130,5660
12221,5764
12316,5864
12415,5960
12513,6063
12608,6162
12707,6266
12811,6369
12913,6465
13014,6569
13112,6668
13215,6767
13318,6872
13422,6973
13526,7074
13632,7174
13738,7274
13842,7374
13950,7475
14052,7575
14154,7673
14263,7774
14367,7873
14468,7971
14575,8063
14679,8160
14779,8258
14882,8352
14988,8446
15086,8541
15189,8636
15289,8730
15389,8824
15489,8916
15588,9008
15688,9099
15783,9188
15884,9276
15976,9367
16073,9452
16167,9545
16258,9629
16351,9717
60,9803
149,9887
245,9974
336,10061
431,10146
521,10229
613,10312
707,10398
800,10486
890,10571
985,10655
1076,10743
1171,10830
1265,10913
1356,11010
1451,11097
1541,11184
1633,11275
1723,11362
1820,11456
1910,11548
2001,11640
2099,11733
2188,11825
2283,11919
2379,12014
2470,12104
2562,12198
2654,12293
2746,12385
2840,12480
2931,12577
3022,12675
3114,12770
3206,12866
3301,12964
3396,13059
3490,13156
3584,13252
3677,13351
3771,13446
3865,13542
3954,13638
4042,13733
4132,13831
4229,13927
4323,14025
4419,14121
4518,14213
4611,14309
4711,14405
4807,14503
4905,14597
5004,14690
5102,14785
5202,14881
5302,14978
5403,15078
5505,15174
5605,15267
5704,15364
5809,15458
5909,15556
6006,15650
6107,15747
6207,15844
6310,15939
6411,16034
6514,16129
6611,16219
6709,16310
6807,21
6906,112
7004,203
7103,299
7198,391
7294,482
7394,569
7490,662
7584,752
7676,843
7771,928
7863,1018
7955,1103
8045,1188
8136,1276
8224,1360
8315,1447
8403,1531
8493,1616
8586,1698
8679,1782
8768,1868
8861,1954
8949,2034
9041,2119
9128,2200
9219,2287
9311,2370
9401,2454
9491,2536
9584,2622
9674,2709
9769,2793
9859,2882
9951,2971
10043,3057
10132,3141
10222,3232
10314,3322
10406,3413
10497,3502
10589,3592
10683,3685
10775,3777
10865,3869
10958,3956
11050,4049
11137,4141
11231,4232
11325,4327
11412,4419
11506,4516
11597,4610
11692,4701
11784,4797
11875,4889
11967,4986
12059,5079
12147,5170
12234,5267
12326,5360
12422,5452
12515,5544
12607,5636
12702,5732
12796,5824
12889,5919
12986,6008
13082,6102
13179,6198
13276,6290
13374,6381
13474,6475
13568,6566
13669,6663
13767,6756
13862,6850
13965,6942
14063,7038
14163,7133
14262,7228
14359,7321
14461,7414
14560,7511
14656,7603
14753,7695
14853,7789
14950,7882
15047,7972
15144,8062
15240,8153
15333,8244
15427,8336
15522,8426
15615,8518
15713,8609
15806,8700
15898,8786
15989,8875
16081,8962
16171,9052
16259,9136
16344,9222
47,9313
136,9397
227,9483
320,9565
408,9648
496,9734
588,9816
675,9897
765,9980
852,10063
943,10144
1033,10229
1120,10311
1215,10394
1303,10479
1393,10561
1484,10649
1576,10729
1664,10813
1756,10899
1846,10985
1939,11071
2030,11163
2118,11248
2209,11338
2300,11424
2395,11517
2485,11608
2575,11699
2668,11790
2761,11882
2855,11976
2947,12069
3038,12159
3131,12247
3221,12342
3314,12437
3409,12529
3498,12627
3590,12719
3683,12819
3776,12915
3869,13008
3960,13099
4049,13195
4139,13293
4233,13388
4326,13483
4421,13582
4519,13675
4620,13769
4712,13860
4811,13954
4907,14048
5005,14145
5105,14239
5206,14334
5306,14428
5404,14521
5507,14616
5606,14711
5707,14805
5809,14901
5909,14996
6009,15088
6108,15183
6208,15281
6313,15380
6413,15475
6513,15569
6613,15665
6711,15759
6812,15852
6911,15945
7010,16045
7108,16140
7203,16231
7299,16324
7396,35
7495,127
7592,219
7685,313
7782,406
7875,498
7970,588
8057,682
8150,770
8244,861
8334,953
8424,1042
8517,1128
8610,1216
8702,1303
8795,1390
8888,1474
8981,1562
