# Pre-Califiguration: HARD_REV:0x07,MPC:0x05,GX_M:0x76,VOSS_M:0x02,VOSC_M:0x41,PH_M:0x49,PHR_M:0x00,GX_N:0x7B,VOSS_N:0x00,VOSC_N:0x00,PH_N:0x47,PHR_N:0x00
MASTER_RAW,NONIUS_RAW
12836,7200
12929,7296
13027,7387
13122,7481
13215,7574
13317,7669
13412,7764
13502,7853
13600,7940
13697,8033
13795,8127
13887,8221
13987,8313
14085,8408
14176,8499
14272,8595
14370,8688
14464,8783
14560,8872
14654,8962
14748,9054
14846,9143
14938,9235
15038,9324
15132,9418
15228,9505
15320,9592
15414,9685
15504,9775
15599,9870
15697,9952
15793,10044
15887,10130
15980,10218
16073,10306
16166,10397
16255,10485
16342,10576
52,10664
149,10758
241,10847
329,10938
427,11030
511,11118
610,11208
703,11302
795,11391
890,11486
987,11572
1082,11664
1174,11758
1263,11849
1355,11938
1452,12022
1545,12117
1638,12205
1732,12293
1819,12387
1917,12479
2009,12572
2104,12665
2202,12759
2295,12846
2387,12937
2479,13027
2573,13117
2670,13210
2764,13300
2854,13386
2946,13473
3036,13565
3135,13656
3229,13745
3324,13833
3418,13924
3508,14012
3602,14100
3695,14193
3786,14284
3872,14369
3965,14460
4059,14548
4150,14634
4241,14728
4339,14818
4438,14913
4534,15002
4625,15091
4719,15181
4812,15273
4912,15366
5001,15456
5099,15550
5194,15643
5286,15737
5384,15828
5480,15918
5574,16011
5669,16102
5767,16192
5858,16286
5952,16379
6047,85
6144,178
6239,267
6333,359
6426,453
6519,547
6617,635
6709,730
6806,818
6899,910
6988,999
7088,1092
7183,1181
7277,1269
7368,1362
7464,1444
7556,1540
7648,1629
7741,1716
7836,1805
7925,1896
8013,1986
8104,2077
8198,2165
8292,2253
8381,2341
8480,2431
8573,2524
8665,2609
8757,2703
8850,2791
8940,2879
9036,2970
9123,3061
9224,3157
9318,3249
9408,3340
9503,3432
9600,3525
9690,3615
9785,3705
9880,3799
9974,3888
10071,3976
10166,4069
10259,4162
10353,4250
10448,4347
10541,4437
10637,4534
10729,4628
10826,4715
10923,4809
11016,4901
11111,4993
11203,5085
11301,5177
11398,5268
11495,5359
11585,5449
11681,5541
11769,5634
11866,5720
11963,5818
12055,5911
12147,6000
12245,6093
12336,6183
12431,6275
12526,6373
12621,6463
12715,6554
12817,6647
12911,6737
13006,6836
13107,6927
13202,7021
13297,7113
13394,7212
13492,7306
13592,7399
13688,7495
13787,7592
13881,7688
13979,7782
14078,7873
14173,7965
14276,8061
14367,8158
14467,8252
14566,8349
14666,8444
14764,8538
14859,8633
14956,8725
15055,8822
15148,8913
15245,9005
15343,9101
15444,9193
15535,9287
15628,9377
15726,9473
15821,9567
15919,9663
16017,9751
16106,9842
16201,9934
16302,10023
11,10116
104,10208
198,10300
293,10390
386,10480
486,10573
580,10665
680,10758
772,10848
869,10938
968,11032
1063,11122
1154,11213
1252,11309
1345,11407
1440,11497
1534,11588
1636,11681
1729,11772
1834,11864
1926,11961
2022,12049
2111,12142
2213,12235
2306,12326
2396,12418
2491,12515
2588,12607
2685,12699
2776,12792
2874,12891
2960,12980
3057,13070
3154,13163
3248,13252
3343,13344
3439,13436
3534,13526
3629,13617
3722,13711
3812,13799
3907,13893
3999,13982
4092,14071
4182,14158
4277,14249
4370,14341
4466,14431
4562,14524
4659,14617
4748,14708
4843,14796
4940,14891
5037,14982
5126,15076
5227,15171
5318,15258
5412,15354
5510,15449
5606,15540
5703,15629
5797,15720
5887,15818
5982,15914
6074,16009
6173,16096
6267,16186
6361,16280
6456,16371
6548,78
6648,174
6740,268
6839,359
6932,451
7023,543
7116,636
7214,730
7305,824
7399,914
7493,1005
7589,1098
7685,1186
7777,1271
7871,1364
7961,1455
8056,1543
8144,1635
8238,1727
8334,1814
8428,1904
8520,1996
8613,2087
8707,2172
8802,2265
8896,2352
8992,2448
9085,2533
9175,2629
9270,2721
9367,2811
9462,2901
9559,2992
9652,3079
9746,3172
9836,3267
9932,3360
10033,3452
10121,3546
10218,3634
10318,3731
10409,3821
10500,3909
10596,3998
10694,4095
10789,4188
10881,4278
10978,4373
11071,4463
11162,4553
11257,4643
11350,4739
11444,4828
11543,4919
11640,5007
11732,5098
11822,5191
11912,5280
12008,5372
12098,5461
12189,5558
12282,5643
12378,5732
12469,5822
12562,5908
12659,5999
12756,6087
12847,6175
12940,6267
13035,6359
13129,6449
13226,6537
13321,6631
13416,6722
13510,6812
13604,6902
13695,6994
13793,7082
13889,7174
13986,7264
14076,7357
14171,7448
14265,7541
14357,7637
14448,7724
14544,7813
14643,7907
14739,7996
14832,8091
14926,8180
15016,8271
15113,8360
15207,8455
15297,8546
15396,8643
15489,8731
15580,8821
15671,8910
15764,9006
15855,9094
15948,9186
16043,9273
16134,9359
16225,9449
16313,9542
18,9633
114,9721
208,9809
299,9898
396,9990
488,10081
582,10170
682,10256
771,10343
862,10435
955,10527
1049,10620
1144,10707
1240,10796
1336,10888
1431,10981
1524,11067
1621,11163
1713,11251
1808,11347
1906,11438
1999,11528
2092,11619
2188,11712
2285,11803
2378,11902
2473,11990
2565,12076
2663,12168
2758,12260
2854,12354
2948,12449
3044,12542
3136,12631
3234,12727
3333,12818
3418,12909
3514,13000
3608,13092
3702,13187
3795,13278
3890,13369
3978,13460
4074,13551
4161,13642
4262,13733
4352,13822
4448,13914
4545,14003
4641,14092
4737,14183
4831,14275
4924,14365
5018,14456
5115,14548
5209,14640
5306,14729
5399,14824
5495,14913
5590,15005
5685,15093
5780,15184
5873,15278
5967,15372
6065,15463
6165,15557
6261,15655
6359,15745
6451,15836
6544,15928
6640,16024
6733,16120
6833,16209
6929,16302
7022,8
7115,101
7212,201
7305,293
7398,386
7489,479
7589,567
7686,660
7786,754
7882,848
7970,941
8056,1032
8152,1123
8247,1213
8344,1307
8437,1400
8536,1493
8631,1581
8725,1676
8826,1766
8920,1855
9012,1950
9112,2045
9211,2138
9309,2225
9407,2319
9503,2409
9597,2505
9693,2596
9790,2690
9889,2787
9985,2880
10084,2975
10182,3071
10273,3166
10372,3260
10474,3352
10570,3451
10671,3548
10764,3640
10868,3735
10965,3826
11061,3925
11159,4020
11252,4113
11352,4206
11450,4308
11545,4396
11642,4498
11745,4589
11843,4686
11937,4783
12028,4879
12127,4971
12226,5063
12323,5158
12413,5251
12513,5348
12611,5440
12704,5531
12805,5624
12904,5715
12997,5808
13091,5898
13192,5994
13296,6085
13392,6178
13489,6265
13583,6360
13682,6453
13777,6544
13874,6636
13970,6729
14070,6822
14164,6917
14268,7008
14358,7106
14455,7198
14553,7290
14648,7383
14747,7475
14842,7568
14939,7662
15032,7756
15132,7846
15224,7941
15315,8033
15415,8122
15508,8217
15602,8309
15695,8403
15792,8496
15889,8583
15982,8679
16073,8772
16165,8863
16252,8956
16354,9045
65,9136
152,9231
249,9317
342,9408
435,9500
531,9585
621,9680
719,9764
816,9857
903,9946
1002,10038
1102,10128
1191,10217
1287,10304
1383,10396
1480,10486
1567,10573
1664,10666
1755,10758
1851,10848
1945,10939
2044,11032
2135,11126
2225,11213
2326,11310
2420,11403
2511,11493
2605,11586
2701,11682
2799,11774
2894,11866
2985,11961
3081,12052
3173,12140
3270,12235
3366,12327
3460,12422
3553,12515
3645,12608
3739,12704
3829,12797
3924,12889
4017,12982
4114,13072
4202,13166
4298,13263
4392,13356
4484,13445
4584,13537
4679,13630
4776,13720
4866,13806
4967,13898
5060,13989
5161,14079
5247,14172
5345,14260
5443,14354
5532,14445
5626,14537
5725,14629
5821,14717
5921,14808
6012,14906
6111,14991
6207,15084
6296,15178
6397,15270
6486,15362
6580,15450
6677,15544
6770,15634
6863,15729
6958,15819
7054,15911
7147,16004
7243,16093
7337,16182
7426,16272
7519,16365
7610,72
7707,161
7793,255
7886,342
7975,434
8065,523
8154,618
8249,708
8343,799
8430,886
8522,976
8617,1062
8712,1151
8801,1238
8890,1331
8989,1415
9080,1503
9172,1594
9268,1680
9360,1770
9452,1853
9549,1939
9641,2028
9737,2116
9832,2205
9921,2294
10015,2384
10104,2474
10196,2561
10290,2649
10383,2737
10481,2828
10570,2921
10665,3010
10759,3101
10855,3197
10948,3289
11040,3382
11129,3478
11232,3567
11317,3662
11414,3756
11507,3840
11599,3930
11693,4024
11785,4118
11878,4212
11969,4306
12057,4402
12146,4493
12241,4589
12335,4686
12421,4778
12512,4876
12608,4964
12702,5056
12790,5153
12885,5247
12980,5341
13070,5438
13162,5530
13254,5620
13350,5714
13441,5808
13535,5901
13630,5993
13718,6090
13809,6180
13901,6275
14001,6373
14090,6463
14184,6560
14275,6655
14370,6745
14459,6843
14558,6940
14657,7035
14747,7129
14840,7223
14928,7320
15021,7417
15120,7510
15214,7606
15306,7705
15401,7801
15492,7897
15584,7989
15676,8084
15771,8173
15865,8266
15960,8363
16050,8458
16143,8553
16230,8648
16325,8739
41,8834
130,8930
225,9018
320,9108
413,9201
508,9292
598,9381
695,9476
793,9563
888,9655
984,9748
1075,9836
1172,9925
1265,10013
1361,10104
1459,10190
1551,10282
1642,10373
1737,10461
1834,10546
1930,10638
2027,10730
2117,10818
2209,10908
2309,10996
2404,11086
2497,11176
2590,11263
2689,11358
2783,11448
2875,11539
2973,11632
3068,11723
3158,11814
3253,11902
3350,11993
3443,12083
3538,12172
3636,12265
3725,12356
3816,12454
3909,12540
4000,12637
4092,12725
4186,12815
4285,12909
4376,13000
4475,13092
4571,13185
4668,13272
4759,13363
4858,13453
4952,13546
5047,13635
5145,13727
5246,13818
5338,13904
5438,14000
5536,14090
5631,14185
5730,14275
5827,14364
5926,14457
6027,14547
6123,14638
6218,14730
6317,14825
6415,14919
6511,15011
6616,15105
6713,15195
6813,15292
6909,15387
7001,15484
7100,15579
7196,15674
7297,15772
7392,15871
7490,15966
7591,16061
7684,16154
7790,16252
7884,16348
7975,58
8071,154
8169,251
8265,354
8358,449
8460,546
8555,644
8656,738
8756,835
8853,930
8948,1027
9044,1121
9140,1215
9240,1313
9341,1402
9442,1497
9533,1586
9631,1685
9731,1775
9826,1869
9927,1964
10022,2055
10115,2151
10219,2241
10322,2333
10416,2423
10510,2522
10604,2615
10702,2708
10796,2795
10896,2887
10988,2980
11082,3075
11179,3169
11277,3260
11377,3354
11475,3447
11574,3539
11668,3630
11757,3724
11854,3811
11948,3901
12039,3994
12136,4085
12229,4178
12318,4268
12416,4360
12513,4444
12611,4538
12703,4627
12799,4714
12898,4806
12992,4892
13091,4982
13186,5069
13278,5155
13375,5244
13467,5332
13565,5415
13666,5501
13758,5592
13856,5676
13952,5764
14049,5850
14142,5936
14233,6019
14328,6106
14429,6190
14532,6275
14624,6360
14720,6448
14810,6535
14904,6617
15001,6706
15094,6797
15186,6885
15285,6972
15379,7057
15475,7147
15569,7233
15659,7325
15754,7415
15850,7503
15943,7591
16036,7686
16122,7779
16215,7870
16306,7954
19,8045
115,8136
207,8224
300,8318
395,8409
494,8504
579,8596
674,8690
773,8776
866,8868
961,8960
1060,9049
1154,9145
1250,9236
1343,9326
1443,9416
1533,9510
1629,9601
1721,9691
1821,9784
1923,9871
2014,9961
2111,10054
2206,10142
2306,10236
2401,10324
2497,10418
2592,10514
2694,10605
2782,10698
2879,10787
2976,10883
3069,10975
3164,11072
3263,11163
3359,11256
3452,11351
3545,11444
3645,11539
3742,11633
3830,11725
3927,11822
4019,11917
4113,12008
4208,12099
4301,12189
4396,12283
4491,12378
4589,12472
4682,12569
4777,12664
4870,12754
4965,12848
5063,12943
5157,13035
5244,13127
5344,13217
5439,13306
5527,13397
5619,13488
5715,13583
5812,13669
5910,13760
5998,13850
6094,13939
6187,14027
6284,14117
6377,14210
6469,14294
6562,14383
6656,14473
6748,14563
6843,14656
6937,14744
7029,14833
7119,14928
7215,15013
7308,15105
7399,15200
7493,15288
7583,15376
7679,15474
7769,15564
7858,15658
7947,15750
8037,15838
8124,15932
8220,16024
8315,16117
8409,16205
8503,16299
8594,10
8688,102
8780,194
8875,285
8966,377
9063,467
9159,562
9250,653
9344,743
9441,839
9538,928
9629,1019
9721,1108
9816,1201
9917,1295
10010,1379
10107,1468
10201,1562
10297,1656
10397,1742
10494,1835
10590,1926
10681,2013
10780,2103
10869,2194
10967,2283
11065,2378
11161,2464
11255,2559
11356,2655
11451,2746
11539,2839
11635,2928
11734,3018
11828,3114
11926,3207
12010,3300
12106,3397
12195,3488
12291,3579
12386,3676
12485,3765
12583,3858
12679,3953
12773,4039
12869,4132
12963,4228
13063,4321
13157,4422
13250,4514
13348,4605
13448,4699
13544,4794
13637,4889
13734,4981
13831,5072
13926,5165
14020,5255
14122,5347
14211,5437
14307,5530
14405,5625
14500,5713
14594,5806
14696,5898
14786,5987
14878,6075
14976,6166
15073,6261
15170,6351
15264,6445
15361,6535
