# Pre-Califiguration: HARD_REV:0x07,MPC:0x05,GX_M:0x78,VOSS_M:0x02,VOSC_M:0x41,PH_M:0x4B,PHR_M:0x00,GX_N:0x7F,VOSS_N:0x00,VOSC_N:0x00,PH_N:0x48,PHR_N:0x00
MASTER_RAW,NONIUS_RAW
10465,13059
10560,13154
10648,13243
10741,13334
10835,13425
10933,13514
11027,13601
11122,13694
11213,13784
11310,13874
11403,13964
11495,14056
11591,14145
11686,14235
11781,14328
11872,14415
11967,14508
12054,14597
12149,14689
12243,14777
12333,14872
12431,14963
12526,15054
12623,15149
12719,15239
12814,15329
12901,15423
13001,15517
13095,15610
13191,15701
13284,15795
13380,15887
13472,15983
13568,16079
13668,16173
13761,16261
13854,16353
13953,64
14047,153
14143,248
14237,341
14332,436
14429,524
14522,619
14615,709
14709,802
14807,893
14898,983
14997,1073
15087,1163
15185,1252
15275,1342
15368,1437
15458,1525
15555,1617
15647,1703
15740,1797
15835,1884
15929,1969
16020,2061
16111,2151
16201,2238
16295,2327
16382,2416
91,2508
182,2601
280,2688
374,2779
464,2867
562,2958
657,3050
746,3142
832,3237
928,3324
1025,3419
1115,3509
1209,3597
1309,3690
1401,3776
1495,3869
1587,3957
1680,4050
1775,4144
1867,4233
1963,4327
2053,4421
2153,4508
2245,4601
2341,4691
2434,4782
2529,4874
2620,4964
2721,5052
2814,5146
2908,5234
2997,5323
3091,5412
3188,5500
3283,5590
3375,5679
3472,5772
3564,5858
3657,5944
3751,6038
3839,6127
3935,6215
4025,6307
4115,6396
4217,6486
4306,6579
4398,6672
4498,6759
4591,6852
4687,6941
4782,7032
4877,7126
4972,7217
5070,7309
5163,7401
5258,7498
5351,7587
5443,7677
5541,7773
5633,7864
5730,7957
5829,8049
5924,8144
6019,8234
6118,8325
6213,8417
6305,8510
6397,8607
6493,8697
6589,8791
6687,8881
6784,8974
6872,9067
6965,9158
7057,9248
7157,9342
7251,9434
7346,9523
7439,9609
7531,9701
7623,9790
7723,9882
7815,9976
7906,10064
7996,10154
8090,10242
8180,10335
8275,10425
8371,10515
8465,10608
8560,10695
8655,10791
8749,10876
8839,10975
8936,11065
9038,11154
9128,11244
9225,11340
9315,11435
9411,11527
9505,11617
9600,11706
9700,11801
9797,11892
9889,11988
9985,12078
10076,12164
10172,12260
10272,12352
10368,12449
10461,12543
10558,12638
10650,12728
10749,12823
10847,12916
10942,13006
11037,13099
11135,13196
11228,13289
11326,13380
11415,13471
11511,13562
11611,13649
11706,13743
11805,13837
11903,13929
11994,14019
12085,14113
12177,14203
12278,14299
12375,14387
12470,14482
12565,14576
12661,14667
12758,14760
12853,14853
12950,14949
13047,15042
13148,15135
13249,15231
13350,15326
13440,15419
13540,15519
13637,15617
13738,15709
13832,15807
13928,15902
14032,15999
14128,16092
14231,16187
14324,16282
14421,16378
14523,90
14621,185
14717,282
14819,374
14918,471
15012,566
15107,660
15206,756
15306,852
15406,949
15499,1043
15600,1133
15703,1227
15798,1321
15893,1412
15994,1508
16087,1604
16181,1696
16273,1787
16371,1879
84,1973
186,2066
282,2157
378,2246
473,2339
564,2431
665,2525
760,2621
860,2713
960,2805
1058,2902
1155,2994
1251,3092
1345,3187
1444,3279
1539,3373
1636,3468
1735,3562
1830,3657
1929,3751
2022,3842
2123,3933
2217,4024
2319,4121
2413,4217
2507,4310
2607,4404
2699,4498
2793,4594
2889,4688
2987,4780
3082,4870
3175,4964
3273,5062
3369,5153
3466,5242
3556,5332
3650,5424
3745,5520
3834,5609
3926,5698
4022,5786
4112,5876
4207,5971
4304,6059
4401,6152
4496,6244
4584,6335
4679,6426
4776,6514
4868,6607
4963,6699
5055,6793
5151,6884
5245,6977
5340,7066
5440,7159
5532,7254
5627,7348
5723,7440
5821,7532
5913,7625
6008,7718
6105,7810
6200,7903
6297,7993
6392,8083
6479,8180
6582,8273
6673,8365
6766,8457
6861,8553
6957,8642
7051,8733
7148,8829
7243,8920
7339,9013
7432,9102
7525,9193
7622,9284
7719,9375
7808,9468
7900,9561
7989,9648
8081,9736
8179,9826
8272,9916
8370,10005
8458,10096
8555,10189
8645,10277
8741,10369
8838,10460
8929,10552
9024,10639
9122,10726
9215,10822
9305,10911
9397,11002
9498,11093
9594,11187
9687,11279
9785,11375
9876,11464
9974,11556
10064,11648
10164,11744
10259,11836
10356,11926
10451,12016
10549,12105
10643,12194
10734,12289
10827,12380
10921,12469
11013,12563
11107,12655
11201,12747
11295,12837
11393,12930
11484,13019
11579,13105
11672,13201
11763,13294
11857,13386
11950,13473
12038,13563
12130,13652
12223,13742
12315,13828
12412,13915
12502,14012
12593,14097
12688,14184
12783,14273
12876,14362
12967,14449
13060,14537
13158,14632
13249,14714
13345,14805
13437,14896
13530,14990
13627,15077
13717,15168
13810,15258
13909,15348
14001,15438
14092,15529
14186,15620
14277,15709
14368,15800
14463,15891
14558,15981
14657,16073
14748,16162
14841,16251
14936,16341
15029,51
15117,143
15210,232
15301,322
15389,414
15480,506
15572,594
15670,687
15765,775
15856,862
15950,952
16039,1042
16126,1131
16219,1220
16302,1314
13,1402
110,1487
203,1576
292,1666
388,1756
480,1845
570,1934
661,2023
753,2114
849,2203
943,2289
1035,2380
1130,2468
1219,2557
1315,2646
1409,2738
1501,2831
1598,2920
1692,3012
1787,3101
1880,3193
1975,3286
2066,3379
2158,3473
2258,3561
2351,3658
2442,3748
2534,3833
2628,3923
2725,4015
2817,4107
2913,4202
3004,4291
3104,4384
3200,4478
3291,4572
3386,4657
3484,4753
3569,4841
3664,4930
3760,5025
3850,5110
3941,5202
4036,5295
4130,5388
4221,5475
4314,5563
4414,5654
4505,5743
4600,5829
4695,5916
4793,6009
4884,6095
4985,6185
5079,6274
5173,6366
5265,6452
5359,6544
5453,6636
5550,6725
5643,6820
5740,6911
5837,6999
5934,7091
6026,7181
6112,7270
6213,7359
6311,7452
6398,7549
6496,7639
6591,7730
6686,7824
6778,7911
6873,8002
6974,8093
7069,8186
7159,8282
7248,8375
7347,8466
7439,8552
7530,8644
7626,8734
7716,8828
7812,8921
7901,9010
7992,9104
8085,9193
8179,9284
8277,9375
8368,9468
8459,9558
8556,9652
8651,9739
8743,9831
8837,9919
8937,10012
9033,10101
9130,10195
9230,10284
9324,10376
9419,10470
9512,10561
9604,10650
9705,10746
9802,10842
9897,10934
9991,11030
10092,11121
10190,11218
10286,11306
10384,11404
10481,11503
10583,11597
10681,11691
10770,11785
10871,11882
10968,11976
11066,12072
11164,12166
11261,12263
11361,12362
11453,12454
11549,12553
11650,12650
11744,12747
11842,12841
11944,12934
12039,13029
12132,13125
12225,13221
12329,13307
12422,13409
12516,13502
12620,13594
12717,13685
12813,13781
12914,13872
13009,13968
13102,14058
13200,14149
13298,14240
13397,14339
13492,14427
13587,14521
13687,14616
13786,14704
13887,14800
13981,14891
14077,14983
14171,15076
14266,15171
14366,15266
14460,15358
14557,15445
14655,15544
14752,15639
14848,15730
14942,15819
15034,15917
15132,16012
15224,16102
15324,16197
15418,16291
15514,16380
15607,84
15701,181
15795,276
15887,372
15978,463
16069,551
16162,646
16254,739
16345,832
58,923
149,1010
250,1104
341,1192
438,1287
529,1376
620,1465
716,1551
817,1644
908,1735
1005,1824
1094,1912
1193,2005
1293,2095
1382,2184
1478,2280
1575,2371
1667,2463
1767,2553
1858,2643
1963,2735
2053,2829
2150,2921
2247,3015
2342,3110
2434,3202
2527,3296
2623,3387
2720,3482
2820,3575
2909,3666
3005,3763
3104,3854
3197,3945
3290,4043
3385,4137
3482,4229
3577,4323
3674,4419
3769,4511
3860,4602
3951,4699
4045,4796
4142,4887
4237,4976
4332,5073
4431,5162
4524,5252
4625,5346
4715,5437
4808,5533
4905,5622
5000,5714
5093,5802
5189,5893
5285,5984
5381,6074
5481,6166
5574,6258
5666,6348
5763,6440
5859,6532
5958,6621
6050,6715
6144,6803
6241,6896
6333,6988
6431,7080
6527,7171
6615,7266
6712,7358
6807,7450
6900,7545
6990,7634
7086,7728
7181,7820
7279,7910
7375,8003
7463,8097
7559,8186
7651,8278
7741,8373
7835,8465
7925,8557
8015,8650
8104,8741
8203,8831
8298,8921
8391,9011
8482,9103
8574,9194
8672,9283
8763,9372
8857,9462
8944,9556
9042,9643
9134,9732
9228,9824
9323,9913
9420,10001
9513,10090
9611,10180
9703,10271
9799,10357
9888,10452
9986,10542
10079,10631
10177,10721
10268,10810
10364,10903
10460,10994
10554,11086
10655,11180
10745,11267
10838,11364
10934,11454
11033,11547
11127,11639
11219,11738
11311,11831
11406,11920
11501,12011
11598,12100
11692,12191
11786,12286
11879,12378
11974,12473
12068,12565
12156,12659
12248,12753
12340,12847
12432,12939
12528,13025
12626,13120
12723,13213
12817,13305
12909,13397
13006,13484
13100,13573
13200,13664
13295,13753
13383,13844
13481,13935
13574,14028
13669,14115
13762,14206
13858,14297
13962,14386
14054,14474
14144,14564
14237,14656
14334,14747
14430,14835
14528,14925
14620,15017
14711,15109
14804,15201
14904,15296
15001,15390
15093,15478
15188,15573
15281,15662
15379,15756
15472,15850
15563,15941
15660,16033
15754,16126
15847,16217
15941,16310
16036,16
16125,114
16216,202
16308,293
16,388
112,483
203,572
297,665
392,757
492,848
583,941
679,1033
776,1122
871,1210
964,1306
1059,1398
1156,1486
1244,1577
1347,1667
1443,1758
1540,1852
1637,1942
1731,2031
1827,2127
1921,2214
2013,2303
2110,2392
2205,2484
2306,2580
2405,2673
2498,2769
2594,2863
2691,2951
2786,3044
