singleTurnPosition,internalSingleTurnPosition,normalizedExternalMultiTurnSyncBits,normalizedInternalMultiTurnSyncBits,externalMultiTurnPosition,multiTurnPosition
111190,111190,14,1,5,2
111735,111735,14,1,5,2
112300,112300,14,1,5,2
112850,112850,14,1,5,2
113409,113409,14,1,5,2
113970,113970,14,1,5,2
114507,114507,14,1,5,2
115053,115053,14,1,5,2
115609,115609,14,1,5,2
116174,116174,14,1,5,2
116724,116724,14,1,5,2
117291,117291,14,1,5,2
117845,117845,14,1,5,2
118386,118386,14,1,5,2
118944,118944,14,1,5,2
119489,119489,14,1,5,2
120041,120041,14,1,5,2
120602,120602,14,1,5,2
121162,121162,14,1,5,2
121719,121719,14,1,5,2
122268,122268,14,1,5,2
122815,122815,14,1,5,2
123370,123370,14,1,5,2
123919,123919,14,1,5,2
124473,124473,14,1,5,2
125034,125034,14,1,5,2
125592,125592,14,1,5,2
126150,126150,14,1,5,2
126686,126686,14,1,5,2
127237,127237,14,1,5,2
127788,127788,14,1,5,2
128344,128344,14,1,5,2
128900,128900,14,1,5,2
129456,129456,14,1,5,2
130020,130020,14,1,5,2
130563,130563,14,1,5,2
131115,131115,14,1,5,2
131672,131672,14,1,5,2
132220,132220,14,1,5,2
132785,132785,14,1,5,2
133352,133352,14,1,5,2
133914,133914,14,1,5,2
134475,134475,14,1,5,2
135025,135025,14,1,5,2
135573,135573,12,3,5,2
136140,136140,12,3,5,2
136710,136710,12,3,5,2
137263,137263,12,3,5,2
137835,137835,12,3,5,2
138398,138398,12,3,5,2
138955,138955,12,3,5,2
139506,139506,12,3,5,2
140078,140078,12,3,5,2
140637,140637,12,3,5,2
141205,141205,12,3,5,2
141772,141772,12,3,5,2
142334,142334,12,3,5,2
142895,142895,12,3,5,2
143436,143436,12,3,5,2
144000,144000,12,3,5,2
144559,144559,12,3,5,2
145132,145132,12,3,5,2
145695,145695,12,3,5,2
146257,146257,12,3,5,2
146819,146819,12,3,5,2
147354,147354,12,3,5,2
147901,147901,12,3,5,2
148461,148461,12,3,5,2
149018,149018,12,3,5,2
149573,149573,12,3,5,2
150123,150123,12,3,5,2
150680,150680,12,3,5,2
151227,151227,12,3,5,2
151760,151760,12,3,5,2
152307,152307,12,3,5,2
152864,152864,12,3,5,2
153420,153420,12,3,5,2
153959,153959,12,3,5,2
154496,154496,12,3,5,2
155041,155041,12,3,5,2
155574,155574,12,3,5,2
156115,156115,12,3,5,2
156653,156653,12,3,5,2
157198,157198,12,3,5,2
157735,157735,12,3,5,2
158281,158281,12,3,5,2
158814,158814,12,3,5,2
159340,159340,12,3,5,2
159868,159868,12,3,5,2
160410,160410,12,3,5,2
160936,160936,12,3,5,2
161483,161483,12,3,5,2
162016,162016,12,3,5,2
162558,162558,12,3,5,2
163094,163094,12,3,5,2
163606,163606,12,3,5,2
164146,164146,12,3,5,2
164680,164680,12,3,5,2
165233,165233,12,3,5,2
165773,165773,12,3,5,2
166316,166316,12,3,5,2
166857,166857,12,3,5,2
167398,167398,12,3,5,2
167925,167925,12,3,5,2
168467,168467,10,5,5,2
169017,169017,10,5,5,2
169563,169563,10,5,5,2
170124,170124,10,5,5,2
170667,170667,10,5,5,2
171217,171217,10,5,5,2
171751,171751,10,5,5,2
172301,172301,10,5,5,2
172841,172841,10,5,5,2
173401,173401,10,5,5,2
173955,173955,10,5,5,2
174516,174516,10,5,5,2
175065,175065,10,5,5,2
175617,175617,10,5,5,2
176159,176159,10,5,5,2
176717,176717,10,5,5,2
177274,177274,10,5,5,2
177842,177842,10,5,5,2
178398,178398,10,5,5,2
178960,178960,10,5,5,2
179514,179514,10,5,5,2
180066,180066,10,5,5,2
180634,180634,10,5,5,2
181173,181173,10,5,5,2
181733,181733,10,5,5,2
182310,182310,10,5,5,2
182860,182860,10,5,5,2
183431,183431,10,5,5,2
183974,183974,10,5,5,2
184535,184535,10,5,5,2
185080,185080,10,5,5,2
185649,185649,10,5,5,2
186203,186203,10,5,5,2
186764,186764,10,5,5,2
187327,187327,10,5,5,2
187884,187884,10,5,5,2
188416,188416,10,5,5,2
188963,188963,10,5,5,2
189520,189520,10,5,5,2
190073,190073,10,5,5,2
190619,190619,10,5,5,2
191159,191159,10,5,5,2
191704,191704,10,5,5,2
192235,192235,10,5,5,2
192770,192770,10,5,5,2
193316,193316,10,5,5,2
193854,193854,10,5,5,2
194381,194381,10,5,5,2
194919,194919,10,5,5,2
195450,195450,10,5,5,2
195975,195975,10,5,5,2
196502,196502,10,5,5,2
197020,197020,10,5,5,2
197553,197553,10,5,5,2
198077,198077,10,5,5,2
198603,198603,10,5,5,2
199127,199127,10,5,5,2
199650,199650,10,5,5,2
200168,200168,10,5,5,2
200679,200679,10,5,5,2
201185,201185,8,7,5,2
201706,201706,8,7,5,2
202217,202217,8,7,5,2
202735,202735,8,7,5,2
203239,203239,8,7,5,2
203757,203757,8,7,5,2
204261,204261,8,7,5,2
204756,204756,8,7,5,2
205260,205260,8,7,5,2
205759,205759,8,7,5,2
206265,206265,8,7,5,2
206764,206764,8,7,5,2
207270,207270,8,7,5,2
207765,207765,8,7,5,2
208257,208257,8,7,5,2
208746,208746,8,7,5,2
209231,209231,8,7,5,2
209712,209712,8,7,5,2
210220,210220,8,7,5,2
210713,210713,8,7,5,2
211204,211204,8,7,5,2
211688,211688,8,7,5,2
212187,212187,8,7,5,2
212667,212667,8,7,5,2
213150,213150,8,7,5,2
213628,213628,8,7,5,2
214114,214114,8,7,5,2
214600,214600,8,7,5,2
215098,215098,8,7,5,2
215579,215579,8,7,5,2
216067,216067,8,7,5,2
216534,216534,8,7,5,2
217015,217015,8,7,5,2
217482,217482,8,7,5,2
217965,217965,8,7,5,2
218457,218457,8,7,5,2
218947,218947,8,7,5,2
219430,219430,8,7,5,2
219910,219910,8,7,5,2
220393,220393,8,7,5,2
220875,220875,8,7,5,2
221346,221346,8,7,5,2
221832,221832,8,7,5,2
222314,222314,8,7,5,2
222797,222797,8,7,5,2
223286,223286,8,7,5,2
223768,223768,8,7,5,2
224251,224251,8,7,5,2
224739,224739,8,7,5,2
225200,225200,8,7,5,2
225680,225680,8,7,5,2
226177,226177,8,7,5,2
226658,226658,8,7,5,2
227149,227149,8,7,5,2
227632,227632,8,7,5,2
228129,228129,8,7,5,2
228608,228608,8,7,5,2
229086,229086,8,7,5,2
229569,229569,8,7,5,2
230065,230065,8,7,5,2
230535,230535,8,7,5,2
231036,231036,8,7,5,2
231520,231520,8,7,5,2
232009,232009,8,7,5,2
232491,232491,8,7,5,2
232980,232980,8,7,5,2
233457,233457,8,7,5,2
233952,233952,6,9,5,2
234444,234444,6,9,5,2
234926,234926,6,9,5,2
235428,235428,6,9,5,2
235926,235926,6,9,5,2
236415,236415,6,9,5,2
236909,236909,6,9,5,2
237382,237382,6,9,5,2
237872,237872,6,9,5,2
238361,238361,6,9,5,2
238853,238853,6,9,5,2
239341,239341,6,9,5,2
239834,239834,6,9,5,2
240331,240331,6,9,5,2
240809,240809,6,9,5,2
241293,241293,6,9,5,2
241776,241776,6,9,5,2
242256,242256,6,9,5,2
242737,242737,6,9,5,2
243230,243230,6,9,5,2
243724,243724,6,9,5,2
244216,244216,6,9,5,2
244702,244702,6,9,5,2
245193,245193,6,9,5,2
245657,245657,6,9,5,2
246137,246137,6,9,5,2
246624,246624,6,9,5,2
