# Pre-Califiguration: HARD_REV:0x11,MPC:0x05,GX_M:0x75,VOSS_M:0x41,VOSC_M:0x41,PH_M:0x52,PHR_M:0x00,GX_N:0x76,VOSS_N:0x02,VOSC_N:0x42,PH_N:0x51,PHR_N:0x00
MASTER_RAW,NONIUS_RAW
15820,955
15919,1054
16014,1144
16108,1237
16201,1328
16292,1418
16383,1512
92,1603
183,1692
281,1782
374,1870
467,1960
563,2049
657,2139
752,2226
846,2311
943,2404
1040,2491
1135,2580
1227,2667
1323,2757
1420,2843
1516,2933
1609,3025
1703,3115
1800,3206
1895,3296
1994,3387
2093,3478
2187,3571
2280,3661
2376,3754
2470,3846
2568,3936
2662,4025
2753,4119
2850,4208
2948,4298
3042,4391
3137,4484
3230,4578
3319,4670
3413,4763
3506,4853
3597,4944
3688,5036
3778,5125
3871,5218
3959,5307
4046,5399
4140,5488
4228,5576
4320,5669
4412,5758
4504,5845
4594,5934
4690,6022
4784,6115
4877,6202
4970,6289
5064,6379
5158,6467
5254,6557
5347,6645
5446,6736
5541,6825
5634,6916
5732,7009
5828,7101
5923,7194
6018,7287
6114,7380
6210,7474
6307,7565
6402,7659
6497,7754
6594,7849
6691,7942
6785,8035
6880,8126
6973,8219
7070,8315
7162,8412
7259,8505
7356,8599
7448,8694
7539,8789
7638,8884
7730,8979
7822,9071
7918,9162
8007,9255
8098,9350
8186,9441
8279,9528
8375,9620
8468,9714
8561,9803
8650,9892
8749,9982
8842,10073
8935,10160
9029,10248
9123,10336
9220,10428
9316,10512
9411,10600
9505,10687
9601,10779
9695,10868
9790,10958
9885,11045
9983,11134
10076,11222
10170,11313
10266,11404
10363,11496
10454,11583
10552,11674
10648,11766
10746,11857
10840,11950
10933,12038
11021,12125
11115,12218
11207,12309
11302,12400
11396,12488
11490,12582
11581,12673
11674,12762
11762,12857
11853,12946
11948,13039
12039,13129
12126,13219
12212,13306
12301,13400
12391,13491
12485,13577
12578,13666
12664,13755
12752,13842
12847,13930
12944,14019
13032,14103
13125,14192
13217,14280
13313,14367
13407,14453
13500,14543
13589,14631
13682,14722
13777,14807
13872,14899
13967,14990
14064,15078
14159,15165
14254,15258
14349,15348
14441,15439
14537,15531
14630,15621
14723,15716
14816,15809
14913,15902
15010,15994
15100,16088
15195,16181
15292,16270
15383,16364
15478,74
15570,165
15665,260
15757,354
15851,448
15941,545
16038,637
16131,728
16220,822
16308,917
12,1007
104,1099
195,1193
291,1283
384,1376
480,1464
571,1552
665,1642
758,1733
855,1821
948,1910
1040,1999
1132,2082
1228,2174
1327,2261
1420,2351
1515,2439
1612,2525
1708,2615
1803,2706
1899,2797
1996,2886
2093,2975
2190,3066
2282,3154
2378,3248
2473,3340
2572,3431
2667,3522
2761,3613
2857,3707
2952,3798
3044,3892
3137,3979
3231,4068
3325,4163
3422,4254
3514,4345
3604,4438
3700,4529
3794,4626
3884,4717
3969,4809
4059,4903
4149,4993
4243,5085
4337,5174
4429,5263
4525,5358
4619,5447
4714,5536
4807,5625
4903,5713
4997,5804
5093,5894
5187,5982
5284,6069
5381,6157
5476,6245
5573,6336
5671,6424
5768,6512
5866,6606
5965,6694
6060,6789
6159,6880
6255,6970
6352,7061
6452,7157
6552,7250
6645,7341
6744,7435
6838,7531
6938,7627
7034,7721
7132,7817
7227,7912
7322,8007
7420,8100
7519,8193
7612,8291
7707,8386
7802,8486
7897,8583
7993,8677
8084,8773
8180,8871
8270,8965
8366,9059
8462,9153
8559,9250
8655,9345
8752,9436
8846,9534
8940,9626
9040,9723
9141,9813
9238,9904
9336,9995
9433,10084
9532,10176
9628,10266
9727,10358
9824,10446
9921,10537
10023,10629
10119,10721
10217,10814
10318,10905
10419,10997
10518,11089
10615,11182
10711,11276
10809,11369
10905,11463
11003,11557
11101,11654
11198,11746
11289,11839
11383,11935
11481,12032
11575,12121
11669,12213
11767,12308
11863,12400
11956,12498
12048,12592
12138,12687
12227,12780
12319,12875
12412,12968
