# Pre-Califiguration: HARD_REV:0x11,MPC:0x05,GX_M:0x78,VOSS_M:0x41,VOSC_M:0x41,PH_M:0x53,PHR_M:0x00,GX_N:0x7C,VOSS_N:0x02,VOSC_N:0x42,PH_N:0x53,PHR_N:0x00
MASTER_RAW,NONIUS_RAW
7926,1535
8016,1624
8106,1715
8201,1807
8296,1896
8385,1986
8479,2072
8574,2165
8668,2255
8761,2345
8857,2434
8950,2522
9044,2609
9142,2703
9236,2797
9332,2890
9429,2982
9525,3075
9619,3164
9718,3261
9816,3353
9909,3445
10009,3541
10106,3639
10201,3736
10299,3827
10399,3923
10494,4016
10590,4109
10689,4207
10788,4303
10887,4400
10983,4494
11079,4594
11176,4690
11276,4787
11368,4886
11463,4983
11560,5077
11658,5172
11754,5268
11846,5361
11945,5458
12042,5555
12131,5649
12223,5743
12315,5837
12409,5930
12505,6027
12605,6122
12699,6216
12796,6306
12893,6400
12990,6496
13087,6592
13185,6682
13284,6776
13378,6874
13479,6972
13579,7069
13678,7165
13777,7261
13877,7358
13974,7456
14075,7550
14174,7651
14276,7748
14375,7850
14473,7944
14575,8037
14674,8135
14775,8229
14872,8326
14970,8424
15066,8525
15167,8619
15266,8716
15364,8813
15464,8908
15563,9005
15662,9100
15754,9191
15848,9288
15947,9385
16043,9473
16137,9566
16230,9664
16322,9758
33,9847
133,9941
224,10029
318,10122
414,10212
506,10302
604,10392
700,10481
799,10574
896,10667
989,10757
1086,10851
1183,10941
1281,11034
1376,11126
1471,11216
1571,11308
1665,11402
1764,11495
1857,11591
1959,11682
2054,11773
2154,11866
2247,11965
2346,12057
2446,12145
2542,12237
2638,12332
2733,12427
2830,12517
2925,12612
3018,12707
3110,12803
3208,12895
3301,12988
3396,13082
3492,13174
3583,13265
3675,13355
3771,13448
3864,13540
3951,13630
4039,13719
4127,13811
4225,13900
4316,13991
4410,14079
4501,14170
4598,14257
4689,14347
4781,14437
4878,14529
4969,14617
5066,14708
5160,14795
5257,14888
5353,14977
5449,15070
5543,15157
5642,15256
5732,15347
5830,15438
5931,15533
6025,15624
6118,15719
6215,15809
6311,15903
6406,16001
6502,16096
6597,16188
6695,16280
6791,16374
6886,88
6984,180
7076,275
7174,368
7268,462
7359,556
7453,652
7549,747
7645,837
7738,929
7828,1021
7919,1118
8007,1207
8100,1300
8189,1391
8285,1484
8373,1575
8467,1666
8559,1754
8652,1843
8748,1931
8839,2022
8936,2114
9032,2204
9124,2290
9222,2377
9315,2469
9406,2558
9504,2646
9599,2740
9697,2826
9791,2917
9887,3009
9979,3097
10075,3187
10171,3278
10267,3367
10364,3460
10457,3550
10554,3645
10648,3738
10743,3825
10836,3915
10935,4003
11027,4092
11122,4184
11218,4278
11308,4366
11401,4459
11496,4549
11587,4640
11680,4731
11772,4823
11867,4912
11959,5003
12049,5089
12137,5180
12221,5268
12312,5358
12404,5447
12493,5532
12586,5622
12682,5709
12771,5793
12862,5883
12956,5971
13048,6059
13140,6143
13231,6230
13326,6314
13417,6402
13512,6493
13605,6579
13698,6667
13797,6755
13892,6842
13983,6932
14075,7023
14170,7112
14268,7204
14360,7294
14456,7385
14552,7477
14646,7567
14740,7658
14833,7750
14926,7844
15021,7937
15116,8027
15210,8115
15303,8209
15398,8302
15488,8394
15583,8489
15676,8584
15767,8676
15858,8764
15948,8862
16043,8952
16134,9045
16224,9136
16312,9226
21,9316
112,9410
203,9500
291,9589
385,9677
476,9766
570,9855
663,9945
758,10032
850,10122
946,10212
1040,10302
1134,10390
1230,10479
1322,10568
1417,10657
1510,10744
1605,10831
1700,10921
1799,11015
1896,11107
1990,11198
2084,11288
2181,11379
2280,11469
2372,11560
2471,11653
2562,11746
2662,11839
2755,11933
2853,12025
2945,12112
3039,12202
3132,12294
3225,12387
3320,12482
3415,12576
3510,12670
3600,12761
3693,12853
3784,12948
3878,13037
3967,13129
4053,13222
4145,13313
4236,13405
4333,13493
4424,13586
4517,13674
4611,13765
4704,13852
4794,13945
4888,14032
4983,14122
5079,14209
5178,14296
5270,14382
5367,14473
5456,14560
5554,14650
5653,14739
5749,14827
5846,14917
5946,15013
6043,15099
6139,15190
6233,15279
6329,15374
6426,15468
6526,15560
6622,15653
6715,15747
6813,15839
