master,nonius
6582,1176
6603,1202
6624,1226
6645,1250
6666,1276
6688,1301
6710,1327
6731,1351
6755,1376
6775,1401
6796,1426
6817,1452
6839,1475
6860,1500
6882,1526
6904,1551
6926,1576
6947,1602
6967,1627
6988,1653
7008,1677
7030,1701
7050,1725
7072,1749
7094,1773
7114,1798
7135,1822
7157,1848
7179,1873
7200,1897
7222,1923
7244,1946
7264,1971
7285,1995
7305,2021
7327,2045
7348,2071
7371,2096
7392,2121
7413,2145
7433,2170
7456,2194
7480,2219
7503,2244
7526,2269
7549,2296
7572,2322
7594,2347
7617,2373
7640,2398
7661,2423
7684,2449
7706,2473
7729,2499
7751,2524
7772,2549
7795,2576
7817,2602
7841,2626
7864,2651
7887,2678
7911,2703
7934,2728
7957,2754
7980,2779
8003,2804
8026,2831
8050,2858
8073,2884
8095,2909
8119,2935
8143,2962
8167,2989
8190,3013
8213,3039
8238,3066
8262,3093
8287,3119
8311,3145
8335,3171
8359,3198
8385,3225
8409,3251
8435,3277
8460,3303
8484,3327
8509,3352
8534,3377
8558,3402
8581,3426
8605,3452
8629,3476
8652,3501
8677,3524
8701,3548
8725,3572
8749,3595
8773,3619
8796,3643
8820,3668
8844,3691
8868,3714
8892,3735
8916,3758
8940,3781
8964,3805
8989,3828
9014,3852
9038,3875
9064,3898
9089,3919
9114,3943
9139,3967
9165,3990
9191,4015
9217,4039
9244,4063
9271,4087
9295,4110
9322,4133
9347,4155
9373,4179
9398,4202
9425,4224
9449,4248
9474,4270
9499,4291
9524,4315
9548,4337
9573,4359
9598,4380
9623,4401
9648,4424
9673,4447
9700,4470
9727,4492
9753,4514
9779,4538
9803,4559
9829,4581
9855,4603
9880,4625
9906,4647
9932,4668
9957,4691
9983,4713
10010,4735
10036,4757
10062,4779
10087,4802
10111,4824
10136,4845
10163,4866
10188,4889
10215,4911
10242,4933
10268,4954
10295,4976
10321,4997
10348,5018
10375,5040
10401,5061
10427,5083
10452,5105
10478,5125
10504,5146
10529,5167
10555,5188
10581,5208
10607,5229
10632,5250
10657,5270
10682,5290
10708,5310
10734,5331
10759,5352
10786,5372
10812,5393
10838,5412
10864,5433
10890,5453
10915,5474
10941,5494
10967,5515
10994,5536
11019,5558
11045,5578
11071,5600
11099,5619
11124,5640
11150,5660
11177,5680
11203,5702
11229,5722
11254,5742
11280,5762
11307,5781
11331,5801
11357,5820
11381,5839
11406,5859
11432,5878
11456,5897
11480,5917
11504,5936
11528,5955
11552,5975
11577,5994
11601,6014
11625,6033
11649,6052
11674,6072
11698,6090
11722,6109
11747,6128
11771,6147
11794,6165
11819,6184
11842,6204
11866,6222
11890,6243
11913,6262
11937,6281
11961,6300
11984,6320
12007,6339
12031,6358
12056,6379
12079,6399
12103,6418
12125,6439
12148,6459
12171,6479
12195,6499
12219,6520
12244,6539
12267,6559
12291,6579
12314,6600
12337,6620
12361,6641
12384,6661
12407,6680
12430,6701
12452,6722
12475,6741
12500,6761
12523,6781
12546,6802
12570,6822
12594,6843
12617,6863
12642,6884
12665,6907
12687,6927
12711,6950
12734,6970
12758,6991
12782,7011
12804,7034
12828,7056
12852,7079
12875,7100
12899,7123
12923,7144
12947,7166
12970,7188
12993,7210
13015,7233
13038,7253
13061,7276
13084,7297
13107,7318
13128,7340
13150,7361
13173,7382
13194,7403
13216,7425
13240,7445
13261,7465
13282,7487
13303,7508
13323,7529
13346,7550
13366,7571
13388,7592
13408,7614
13428,7635
13451,7655
13472,7677
13493,7698
13515,7720
13536,7742
13558,7763
13579,7785
13602,7807
13623,7831
13644,7853
13666,7877
13688,7901
13711,7923
13733,7946
13755,7968
13776,7990
13799,8011
13820,8033
13842,8056
13863,8079
13884,8100
13904,8122
13925,8144
13947,8168
13968,8191
13988,8213
14010,8236
14031,8259
14052,8283
14073,8305
14093,8329
14115,8351
14136,8376
14156,8398
14177,8422
14197,8445
14218,8470
14240,8494
14262,8517
14282,8540
14302,8563
14323,8587
14345,8609
14367,8634
14389,8659
14409,8682
14431,8707
14453,8732
14474,8754
14495,8779
14516,8804
14537,8827
14557,8853
14578,8878
14600,8902
14622,8926
14643,8950
14663,8975
14685,9001
14706,9026
14726,9052
14749,9077
14771,9100
14793,9125
14813,9149
14834,9174
14855,9197
14876,9221
14897,9246
14917,9271
14940,9296
14962,9321
14982,9345
15004,9369
15026,9394
15047,9418
15068,9443
15089,9467
15111,9491
15133,9516
15154,9540
15175,9564
15196,9589
15219,9614
15242,9639
15263,9665
15286,9690
15307,9716
15328,9740
15350,9765
15371,9790
15391,9815
15413,9839
15435,9864
15457,9889
15479,9914
15501,9939
15522,9963
15544,9987
15566,10011
15587,10034
15609,10058
15631,10082
15651,10107
15673,10129
15694,10154
15716,10177
15739,10202
15760,10225
15780,10249
15801,10274
15821,10297
15842,10320
15864,10344
15886,10368
15909,10393
15930,10417
15951,10441
15973,10465
15995,10489
16019,10513
16041,10538
16064,10563
16086,10587
16109,10611
16131,10637
16152,10661
16173,10685
16195,10710
16217,10734
16240,10758
16262,10783
16284,10809
16307,10834
16330,10860
16353,10883
16376,10908
15,10933
38,10958
63,10982
87,11007
111,11032
134,11056
155,11080
177,11103
201,11128
224,11152
247,11178
272,11203
295,11229
318,11254
342,11278
366,11302
391,11326
416,11352
440,11377
465,11402
490,11427
515,11453
541,11478
566,11503
591,11529
616,11554
641,11581
667,11605
692,11630
717,11654
741,11678
766,11703
790,11726
813,11750
838,11775
864,11799
889,11823
914,11846
938,11869
963,11893
988,11916
1013,11939
1039,11962
1065,11985
1088,12009
1112,12032
1137,12054
1161,12077
1185,12098
1208,12121
1231,12141
1253,12162
1278,12184
1302,12205
1328,12228
1354,12250
1380,12271
1405,12294
1432,12318
1458,12340
1484,12363
1511,12386
1536,12409
1563,12433
1589,12456
1614,12479
1639,12502
1666,12524
1692,12546
1717,12568
1742,12590
1769,12612
1794,12634
1820,12655
1844,12677
1869,12699
1895,12721
1921,12741
1948,12763
1974,12785
2000,12806
2024,12828
2049,12849
2076,12871
2099,12892
2124,12913
2149,12936
2175,12957
2200,12978
2225,13000
2251,13022
2277,13044
2302,13065
2329,13085
2356,13107
2383,13128
2410,13150
2437,13171
2462,13191
2486,13211
2512,13232
2538,13253
2563,13274
2588,13294
2614,13317
2640,13337
2665,13360
2689,13381
2716,13401
2742,13423
2769,13444
2795,13465
2821,13485
2846,13506
2871,13526
2897,13547
2923,13566
2949,13586
2973,13607
2999,13627
3024,13647
3049,13666
3074,13685
3099,13705
3123,13725
3147,13745
3171,13764
3196,13785
3221,13805
3246,13825
3270,13844
3295,13863
3320,13883
3345,13904
3371,13925
3397,13945
3423,13965
3448,13985
3472,14005
3496,14025
3522,14044
3545,14064
3570,14084
3595,14104
3619,14123
3644,14143
3668,14162
3692,14180
3716,14200
3741,14218
3767,14239
3790,14258
3814,14278
3838,14297
3861,14317
3885,14335
3908,14355
3930,14375
3952,14396
3974,14414
3997,14433
4020,14453
4042,14472
4065,14492
4088,14509
4110,14529
4133,14548
4156,14569
4179,14587
4202,14608
4225,14626
4248,14645
4272,14665
4295,14685
4320,14706
4343,14726
4366,14745
4389,14766
4413,14786
4437,14805
4459,14825
4480,14845
4503,14865
4526,14887
4551,14907
4574,14926
4597,14947
4621,14969
4644,14990
4666,15011
4690,15031
4713,15051
4736,15072
4757,15094
4781,15114
4803,15134
4826,15155
4848,15178
4870,15198
4892,15220
4914,15241
4937,15261
4960,15283
4983,15305
5004,15326
5029,15348
5052,15370
5075,15393
5098,15415
5122,15438
5144,15460
5168,15482
5190,15505
5213,15528
5236,15551
5258,15572
5280,15593
5302,15615
5324,15638
5345,15660
5367,15682
5389,15705
5411,15727
5433,15750
5455,15771
5475,15792
5497,15813
5517,15835
5540,15857
5561,15879
5581,15901
5603,15922
5624,15943
5645,15964
5665,15985
5686,16007
5705,16028
5724,16049
5745,16070
5765,16091
5786,16113
5807,16133
5829,16156
5849,16179
5871,16201
5891,16223
5913,16246
5934,16268
5956,16291
5979,16316
6001,16339
6023,16363
6044,4
6067,28
6087,51
6109,75
6131,98
6153,120
6174,144
6194,169
6214,192
6235,215
6256,239
6277,263
6298,287
6320,311
6341,335
6362,360
6384,384
6405,408
6427,431
6449,454
6471,478
6491,502
6511,527
6533,552
6554,577
6576,601
6596,625
6617,649
6638,675
6660,701
6682,725
6703,751
6725,776
6747,801
6769,824
6790,847
6812,874
6833,898
6855,923
6877,947
6899,973
6922,1000
6944,1025
6964,1052
6987,1077
7008,1102
7030,1127
7051,1153
7073,1179
7095,1204
7118,1229
7140,1253
7162,1279
7184,1303
7206,1329
7228,1354
7251,1378
7273,1402
7295,1427
7317,1453
7339,1480
7362,1505
7383,1529
7406,1556
7429,1581
7452,1607
7473,1633
7495,1660
7519,1686
7542,1711
7565,1738
7588,1764
7611,1789
7635,1815
7657,1840
7680,1866
7704,1892
7727,1919
7749,1944
7772,1969
7796,1994
7818,2018
7839,2044
7862,2068
7884,2094
7907,2118
7929,2143
7951,2167
7974,2193
7996,2219
8019,2245
8041,2267
8064,2292
8086,2316
8108,2341
8132,2366
8155,2391
8177,2416
8198,2441
8221,2465
8242,2490
8265,2515
8288,2539
8310,2564
8332,2589
8357,2613
8379,2636
8402,2662
8428,2687
8453,2711
8476,2738
8500,2763
8524,2788
8550,2814
8575,2838
8599,2864
8623,2891
8647,2916
8672,2942
8695,2967
8719,2992
8744,3017
8767,3043
8792,3069
8817,3095
8843,3120
8868,3145
8893,3170
8917,3195
8942,3220
8967,3246
8993,3270
9018,3296
9044,3320
9068,3345
9093,3370
9119,3394
9144,3419
9170,3445
9195,3471
9221,3496
9247,3523
9273,3548
9299,3574
9326,3599
9353,3623
9381,3648
9406,3673
9433,3698
9460,3723
9486,3747
9513,3771
9539,3796
9565,3821
9589,3845
9615,3870
9641,3893
9666,3916
9691,3938
9715,3960
9740,3983
9766,4006
9791,4029
9818,4052
9842,4074
9867,4096
9892,4118
9917,4140
9942,4163
9966,4185
9992,4206
10018,4227
10043,4250
10067,4272
10091,4294
10116,4316
10141,4338
10166,4360
10191,4382
10218,4406
10245,4429
10271,4450
10297,4473
10325,4495
10350,4519
10378,4543
10405,4565
10432,4588
10459,4611
10486,4633
10512,4654
10538,4675
10564,4698
10590,4721
10617,4744
10642,4765
10666,4786
10691,4806
10716,4828
10743,4849
10767,4871
10792,4894
10817,4915
10844,4936
10870,4957
10897,4979
10924,5001
10949,5022
10975,5042
10999,5064
11023,5084
11048,5105
11073,5125
11097,5146
11122,5166
11147,5188
11173,5210
11198,5231
11223,5250
11248,5271
11274,5292
11301,5313
11326,5334
11351,5354
11377,5376
11402,5397
11427,5418
11453,5439
11478,5459
11504,5480
11528,5500
11553,5521
11576,5541
11601,5562
11626,5583
11650,5603
11675,5623
11700,5643
11724,5663
11749,5682
11773,5702
11797,5724
11822,5744
11846,5762
11869,5781
11893,5802
11916,5822
11940,5842
11965,5863
11988,5883
12012,5902
12035,5921
12059,5942
12082,5961
12106,5981
12131,6001
12152,6021
12176,6040
12201,6061
12224,6081
12248,6100
12270,6120
12294,6140
12316,6158
12341,6178
12364,6198
12387,6217
12410,6235
12433,6254
12455,6273
12477,6292
12499,6311
12522,6331
12545,6350
12567,6368
12591,6387
12615,6406
12636,6426
12658,6447
12681,6466
12704,6486
12726,6506
12748,6525
12771,6544
12794,6563
12815,6583
12837,6603
12858,6622
12880,6641
12903,6661
12925,6681
12946,6702
12970,6721
12992,6740
13013,6760
