master,nonius
1628,14276
1628,14442
1647,14529
1696,14344
1732,14306
1717,14550
1772,14592
1749,14427
1812,14392
1779,14511
1827,14653
1821,14541
1861,14431
1889,14641
1885,14689
1925,14527
1963,14473
1963,14667
1981,14732
2014,14552
2019,14535
2027,14723
2051,14760
2103,14567
2106,14559
2107,14749
2136,14818
2164,14653
2173,14611
2162,14770
2176,14890
2208,14705
2239,14642
2251,14843
2296,14928
2316,14717
2365,14715
2345,14911
2389,14959
2425,14869
2411,14782
2431,14972
2461,14984
2505,14873
2522,14860
2530,15007
2557,15095
2602,14929
2603,14840
2628,15019
2657,15158
2716,14950
2706,14972
2730,15107
2779,15224
2786,15046
2800,15041
2859,15235
2900,15384
2930,15149
2929,15096
2955,15307
2995,15418
3039,15231
3031,15211
3057,15395
3085,15411
3144,15389
3146,15441
3159,15456
3208,15428
3252,15469
3290,15547
3304,15551
3348,15522
3363,15537
3389,15612
3409,15651
3453,15591
3465,15625
3483,15727
3529,15707
3538,15687
3553,15707
3571,15769
3586,15797
3623,15760
3632,15796
3650,15853
3673,15875
3706,15814
3744,15867
3756,15947
3780,15940
3810,15918
3834,15938
3842,16006
3864,16029
3896,15993
3893,16047
3907,16088
3939,16099
3973,16066
3979,16112
4015,16173
3999,16183
4039,16159
4068,16165
4069,16265
4101,16242
4126,16242
4121,16243
4125,16324
4177,16322
4204,16298
4208,16332
4225,33
4234,30
4276,16368
4271,23
4282,78
4301,77
4345,19
4343,108
4377,190
4397,193
4423,136
4449,177
4477,280
4505,281
4507,245
4565,275
4549,370
4593,402
4623,345
4627,389
4642,510
4683,497
4691,456
4731,553
4737,605
4783,658
4790,600
4829,631
4842,776
4874,809
4936,750
4940,805
4954,951
5000,962
5008,927
5055,937
5086,1078
5119,1117
5151,1071
5176,1117
5212,1284
5237,1317
5250,1244
5271,1303
5297,1427
5347,1464
5376,1440
5382,1463
5438,1586
5450,1640
5493,1579
5505,1628
5526,1812
5564,1835
5584,1726
5614,1788
5634,1966
5672,1962
5678,1963
5714,1947
5766,2097
5767,2144
5786,2061
5808,2090
5826,2261
5844,2252
5858,2200
5887,2215
5898,2382
5919,2417
5974,2303
5990,2341
6006,2510
6019,2539
6059,2439
6083,2479
6079,2621
6102,2646
6120,2565
6129,2603
6159,2765
6163,2753
6185,2651
6237,2682
6265,2840
6253,2857
6269,2804
6317,2808
6320,2949
6337,2966
6341,2872
6370,2899
6393,3020
6429,3075
6435,2956
6427,3023
6459,3115
6483,3134
6509,3047
6507,3091
6555,3231
6563,3257
