master,nonius
1065,3046
1089,3076
1119,3126
1147,3175
1170,3201
1215,3259
1247,3270
1268,3326
1300,3334
1323,3391
1347,3439
1364,3476
1398,3536
1440,3602
1439,3615
1497,3681
1500,3712
1535,3738
1556,3789
1573,3818
1624,3851
1648,3905
1669,3949
1715,3973
1724,4009
1754,4005
1793,4056
1816,4081
1838,4112
1883,4124
1906,4142
1920,4174
1940,4194
1971,4219
2011,4247
2021,4269
2038,4296
2076,4292
2105,4331
2145,4362
2132,4374
2164,4406
2206,4430
2207,4439
2257,4449
2278,4464
2316,4496
2339,4503
2362,4499
2390,4536
2404,4548
2441,4580
2459,4600
2476,4625
2492,4634
2521,4663
2527,4659
2555,4674
2602,4694
2593,4729
2616,4744
2656,4755
2675,4789
2687,4808
2727,4812
2741,4826
2740,4859
2754,4892
2777,4882
2784,4913
2813,4922
2835,4946
2850,4975
2859,4979
2879,4994
2892,5020
2925,5024
2929,5054
2927,5043
2966,5066
2993,5097
3001,5122
3032,5126
3049,5173
3077,5169
3070,5172
3090,5196
3105,5199
3143,5223
3150,5224
3179,5223
3182,5255
3206,5257
3230,5277
3271,5263
3283,5279
3309,5303
3332,5322
3349,5331
3396,5358
3431,5352
3437,5368
3480,5385
3500,5411
3521,5409
3574,5430
3575,5457
3606,5482
3623,5475
3670,5499
3686,5508
3717,5533
3751,5560
3771,5565
3803,5597
3836,5654
3866,5654
3900,5690
3935,5716
3947,5724
3978,5755
4021,5770
4042,5818
4082,5826
4109,5868
4136,5886
4144,5903
4189,5929
4214,5944
4238,5967
4231,5993
4297,6011
4324,6050
4336,6052
4361,6069
4411,6106
4422,6109
4459,6121
4472,6150
4481,6158
4515,6149
4554,6177
4563,6195
4605,6185
4600,6186
4619,6210
4649,6222
4674,6207
4700,6223
4725,6234
4726,6259
4781,6249
4789,6264
4794,6292
4809,6271
4836,6280
4864,6306
4881,6301
4906,6313
4922,6320
4935,6325
4954,6353
4969,6349
4980,6368
5010,6389
5028,6383
5053,6424
5051,6437
5068,6436
5111,6459
5101,6476
5110,6499
5143,6517
5180,6558
5178,6549
5233,6537
5214,6585
5244,6586
5243,6619
5280,6617
5313,6641
5341,6635
5348,6669
5382,6689
5405,6703
5408,6704
5441,6721
5460,6743
5484,6730
5514,6749
5534,6770
5556,6763
5596,6804
5613,6801
5648,6817
5666,6836
5713,6850
5712,6860
5748,6884
5809,6910
5826,6916
5852,6950
5871,6969
5916,7000
5937,7011
5955,7027
5976,7021
6005,7071
6041,7109
6040,7119
6085,7151
6123,7187
6137,7220
6159,7237
6209,7259
6230,7294
6253,7319
6271,7335
6319,7369
6339,7412
6390,7434
6403,7450
6420,7468
6440,7469
6465,7493
6502,7531
6533,7533
6553,7581
6563,7606
6613,7613
6597,7628
6654,7627
6687,7659
6696,7678
6735,7696
6766,7708
6784,7733
6821,7744
6822,7764
6833,7785
6861,7801
6906,7825
6924,7822
6922,7866
6960,7868
6982,7910
6996,7930
7007,7945
7037,7985
7052,7997
7089,8016
7088,8038
7101,8076
7130,8080
7121,8108
7155,8114
7174,8129
7189,8175
7228,8192
7223,8197
7241,8227
7262,8255
7265,8243
7306,8248
7308,8266
7319,8274
7334,8268
7362,8318
7394,8327
7405,8351
7409,8390
7446,8395
7459,8397
7486,8398
7533,8421
7538,8451
7554,8463
7592,8493
7610,8530
7637,8564
7661,8602
7685,8621
7716,8667
7736,8718
7753,8781
7774,8805
7829,8846
7840,8871
7857,8911
7888,8963
7901,8984
7941,9047
7973,9098
7997,9139
8040,9174
8065,9217
8099,9274
8111,9298
8162,9354
8174,9411
8203,9424
8230,9467
8258,9482
8272,9514
8300,9548
8347,9569
8364,9611
8395,9662
8438,9699
8465,9733
8489,9760
8522,9810
8543,9867
8602,9918
8619,9918
8638,9977
8669,10049
8690,10089
8733,10125
8738,10194
8759,10250
8777,10291
8809,10349
8840,10410
8863,10429
8881,10505
8904,10536
8933,10581
8962,10612
8993,10662
9018,10700
9036,10717
9048,10750
9080,10747
9093,10759
9094,10798
9135,10795
9170,10810
9171,10827
9209,10834
9237,10818
9232,10855
9253,10881
9274,10910
9285,10953
9309,10946
9330,10948
9340,11010
9364,11057
9387,11065
9418,11132
9440,11174
9454,11133
9460,11224
9492,11248
9508,11279
9530,11322
9528,11342
9542,11378
9557,11423
9568,11426
9577,11495
9612,11492
9653,11491
9663,11559
9681,11554
9691,11545
9710,11580
9745,11572
9740,11635
9782,11638
9810,11649
9830,11677
9852,11679
9875,11689
9901,11727
9940,11740
9955,11793
9994,11864
10011,11874
10056,11902
10065,11947
10086,11980
10117,12011
10163,12059
10196,12097
10223,12137
10248,12179
10281,12247
10302,12258
10341,12312
10366,12340
10407,12401
10408,12427
10438,12458
10471,12497
10494,12517
10510,12549
10544,12561
10577,12599
10590,12605
10629,12616
10631,12621
10676,12665
10729,12671
10730,12695
10756,12705
10803,12694
10823,12748
10851,12755
10876,12766
10901,12779
10920,12803
10951,12833
10956,12836
11012,12876
11039,12893
11049,12936
11071,12932
11096,12981
11119,13023
11134,13032
11190,13085
11185,13107
11220,13128
11251,13140
11253,13170
11277,13201
11306,13218
11333,13259
11340,13271
11356,13278
11371,13297
11402,13310
11417,13324
11424,13332
11440,13319
11438,13339
11481,13346
11497,13351
11500,13343
11525,13347
11544,13374
11575,13332
11609,13356
11625,13383
11633,13380
11640,13384
11679,13371
11664,13393
11699,13387
11713,13419
11734,13444
11751,13453
11766,13460
11777,13489
11821,13504
11845,13550
11859,13563
11872,13578
11911,13592
11925,13628
11954,13652
11973,13665
12006,13688
11985,13701
12050,13732
12045,13754
12094,13791
12104,13807
12133,13819
12151,13845
12183,13847
12204,13880
12229,13869
12229,13868
12282,13900
12321,13911
12341,13936
12372,13946
12378,13948
12436,13964
12467,13955
12485,13988
12526,14001
12519,14019
12562,14025
12603,14038
12612,14062
12668,14087
12683,14107
12735,14133
12745,14140
12788,14181
12809,14190
12845,14211
12852,14245
12881,14265
12923,14299
12948,14322
12961,14343
12998,14380
13056,14390
13071,14419
13092,14425
13095,14445
13134,14477
13142,14494
13181,14500
13204,14522
13237,14526
13271,14544
13278,14584
13315,14578
13327,14590
13344,14608
13376,14591
13414,14616
13412,14622
13447,14615
13458,14620
13482,14654
13517,14655
13528,14648
13517,14657
13563,14679
13570,14680
13597,14695
13603,14704
13642,14717
13677,14716
13682,14730
13698,14746
13701,14753
13721,14755
13734,14770
13749,14798
13788,14808
13787,14826
13829,14858
13850,14870
13861,14889
13861,14912
13881,14906
13908,14924
13909,14939
13948,14986
13960,14985
13979,14973
14012,15005
14021,15025
14040,15046
14042,15037
14094,15075
14117,15077
14130,15097
14158,15094
14164,15113
14197,15159
14198,15124
14268,15168
14281,15179
14322,15201
14343,15192
14359,15228
14380,15247
14422,15249
14425,15253
14457,15283
14490,15298
14519,15323
14532,15334
14576,15358
14598,15379
14668,15387
14654,15421
14686,15438
14704,15469
14735,15497
14766,15517
14798,15554
14859,15593
14844,15604
14888,15620
14917,15654
14954,15680
14967,15712
14985,15715
15050,15760
15060,15803
15077,15837
15101,15852
15122,15857
15152,15927
15177,15943
15218,15980
15238,16005
15256,16020
15279,16066
15304,16069
15334,16086
15375,16122
15386,16144
15426,16150
15434,16174
15479,16207
15473,16219
15508,16234
15531,16246
15545,16279
15579,16296
15594,16323
15604,16333
15651,16347
15658,0
15692,16370
15677,16377
15717,29
15742,36
15760,53
15763,64
15799,81
15812,111
15826,124
15853,132
15876,138
15898,166
15903,185
15921,185
15936,202
15946,232
15972,251
15996,269
16000,307
16024,342
16047,381
16073,393
16106,396
16100,422
16119,449
16144,482
16132,513
16160,533
16174,576
16226,577
16240,619
16251,658
16277,661
16312,714
16320,756
16328,756
16357,813
1,845
28,884
70,923
83,940
109,969
121,1036
168,1064
183,1113
203,1171
246,1156
229,1187
280,1244
289,1288
336,1312
372,1328
401,1398
453,1387
447,1459
479,1514
520,1538
540,1592
587,1643
625,1637
640,1692
696,1732
701,1753
734,1785
748,1863
796,1878
816,1942
822,1994
871,2021
888,2056
902,2126
952,2142
965,2222
1011,2245
1019,2268
1074,2320
1091,2328
1132,2404
1156,2457
1194,2497
1217,2553
1236,2589
1252,2611
1303,2668
1319,2674
1308,2731
1352,2794
1364,2820
1391,2855
1410,2923
1436,2948
1458,2989
1477,2992
1498,3061
1506,3102
1516,3112
1549,3126
1594,3147
1585,3177
1608,3198
1624,3216
1639,3255
1661,3261
1692,3285
1692,3323
1695,3320
1727,3335
1721,3360
1753,3373
1749,3395
1778,3391
1815,3409
1820,3442
1860,3472
1861,3479
1875,3499
1888,3494
1906,3512
1919,3547
1937,3545
1965,3569
1998,3587
2018,3614
2049,3613
2047,3623
2072,3666
2085,3675
2100,3682
2134,3716
2163,3736
2180,3765
2198,3790
2237,3797
2291,3837
2288,3872
2323,3931
2319,3922
2397,3955
2419,4024
2428,4011
2474,4078
2495,4100
2509,4138
2549,4164
2557,4217
2575,4225
2625,4275
2656,4305
2686,4327
2712,4362
2746,4380
2788,4434
2813,4451
2833,4525
2838,4556
2880,4568
2903,4597
2941,4629
2966,4649
2996,4706
3017,4716
3043,4736
3054,4781
3079,4790
3111,4805
3118,4851
3159,4874
3185,4866
3225,4902
3232,4915
3280,4909
3303,4931
3324,4936
3330,4972
3367,4992
3401,4997
3389,5016
3453,5023
3471,5033
3475,5039
3490,5057
3528,5063
3535,5092
3561,5090
3592,5109
